LaneID,public_name,GPSC,In_Silico_St,CC,Aroe,Xpt,Ddl,Gdh,Gki,Recp,Spi,goeBURST,cgMLST,HierCC,LIN_barcode,LIN_Lineage,GPSC__colour,CC__Colour,HC__Colour
28420_2#181,46,81,16698,344,8,702,53,37,4,29,2,25,20391,481,NA,None,#c942b0,#228600,#285e16
28420_3#30,56,981,17041,63,2,21,14,5,769,12,17,1,20569,2,NA,None,NA,#d575ff,#fa77fa
28420_3#156,74,235,16704,16704,8,49,59,5,36,1,17,510,20556,2,NA,None,#de7265,#5bdf5f,#fa77fa
28420_2#204,166,81,344,344,8,12,53,37,9,29,2,25,20407,481,NA,None,#c942b0,#228600,#285e16
28420_2#272,178,81,344,344,8,12,53,37,9,29,2,25,20458,481,NA,None,#c942b0,#228600,#285e16
28420_2#359,277,945,17039,17039,264,19,1094,5,9,27,17,511,20518,2,NA,None,NA,#7927ae,#fa77fa
28420_3#160,281,944,16705,16705,5,142,269,5,4,8,36,512,20557,20970,NA,None,NA,#85db47,#019a11
28420_2#371,310,945,17039,17039,264,19,1094,5,9,27,17,511,20526,2,NA,None,NA,#7927ae,#fa77fa
28420_3#71,332,235,16700,63,8,49,14,5,36,28,17,1,20576,2,NA,None,#de7265,#d575ff,#fa77fa
28420_2#310,333,235,16700,63,8,49,14,5,36,28,17,1,20484,2,NA,None,#de7265,#d575ff,#fa77fa
28420_3#87,336,235,16700,63,8,49,14,5,36,28,17,1,20579,2,NA,None,#de7265,#d575ff,#fa77fa
28420_3#38,361,235,4040,63,2,49,14,5,36,28,17,1,20570,2,NA,None,#de7265,#d575ff,#fa77fa
28420_2#286,367,235,16700,63,8,49,14,5,36,28,17,1,20469,2,NA,None,#de7265,#d575ff,#fa77fa
28420_2#249,400,44,179,177,7,1,14,14,40,12,1,34,20442,259,NA,None,#b33321,#5838bc,#8e1da8
28420_2#168,442,220,10552,10552,1,19,6,12,2,16,10,513,20381,3821,NA,None,#784a8b,#8fd63b,#35d660
28420_3#22,484,81,344,344,8,12,53,37,9,29,2,25,20567,481,NA,None,#c942b0,#228600,#285e16
28420_3#99,490,60,448,448,8,11,71,5,2,27,2,79,20582,995,NA,None,#f93254,#2745c8,#9a25ae
28420_3#200,496,274,8949,8949,177,83,18,134,4,18,9,187,20566,3387,NA,None,#d589be,#aad329,#30cb52
28420_3#14,539,81,16703,344,8,12,53,37,83,29,2,25,20553,481,NA,None,#c942b0,#228600,#285e16
28420_3#123,541,235,4040,63,2,49,14,5,36,28,17,1,20549,2,NA,None,#de7265,#d575ff,#fa77fa
28420_2#367,570,235,4040,63,2,49,14,5,36,28,17,1,20524,2,NA,None,#de7265,#d575ff,#fa77fa
28420_2#264,605,235,4040,63,2,49,14,5,36,28,17,1,20452,2,NA,None,#de7265,#d575ff,#fa77fa
28420_2#140,727,987,17036,17036,7,6,1095,13,8,10,2,514,20361,8,NA,None,NA,#4241c4,#8435bb
28420_2#225,730,60,448,448,8,11,71,5,2,27,2,79,20424,995,NA,None,#f93254,#2745c8,#9a25ae
28420_2#260,731,60,448,448,8,11,71,5,2,27,2,79,20449,995,NA,None,#f93254,#2745c8,#9a25ae
28420_2#228,761,235,4040,63,2,49,14,5,36,28,17,1,20426,2,NA,None,#de7265,#d575ff,#fa77fa
28420_2#269,790,689,17038,11982,564,103,59,505,508,327,491,309,20456,11613,NA,None,#c7a9ed,#a5d632,#78ce39
28420_3#111,795,982,16702,63,8,21,41,5,36,12,17,1,20547,2,NA,None,NA,#d575ff,#fa77fa
